entity_id,state,last_updated
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 06:49:51.651665
sensor.sm_a336b_wifi_signal_strength,-53,2023-01-27 06:49:51.655987
binary_sensor.sm_a336b_interactive,on,2023-01-27 06:49:51.662638
sensor.sm_a336b_total_rx_gb,44.216,2023-01-27 06:49:51.664546
device_tracker.sm_a336b,Cate Home,2023-01-27 06:50:49.699457
sensor.sm_a336b_app_memory,0.03,2023-01-27 06:56:05.119283
sensor.sm_a336b_battery_temperature,23.2,2023-01-27 06:56:05.123545
sensor.sm_a336b_battery_power,0.0,2023-01-27 06:56:05.125509
sensor.sm_a336b_screen_brightness,5,2023-01-27 06:56:05.127289
binary_sensor.sm_a336b_device_locked,on,2023-01-27 06:56:05.129495
sensor.sm_a336b_last_update_trigger,android.intent.action.SCREEN_ON,2023-01-27 06:56:05.131233
sensor.sm_a336b_light_sensor,109,2023-01-27 06:56:05.132922
sensor.sm_a336b_total_rx_gb,44.217,2023-01-27 06:56:05.134728
sensor.sm_a336b_total_tx_gb,1.364,2023-01-27 06:56:05.136425
sensor.sm_a336b_app_memory,0.031,2023-01-27 06:56:05.208839
sensor.sm_a336b_battery_power,0.0,2023-01-27 06:56:05.212492
sensor.sm_a336b_steps_sensor,12547,2023-01-27 06:56:05.222072
sensor.sm_a336b_app_memory,0.034,2023-01-27 06:56:10.184854
sensor.sm_a336b_battery_power,0.0,2023-01-27 06:56:10.186885
sensor.sm_a336b_last_update_trigger,android.intent.action.SCREEN_OFF,2023-01-27 06:56:10.190983
sensor.sm_a336b_light_sensor,110,2023-01-27 06:56:10.192907
sensor.sm_a336b_wifi_link_speed,351,2023-01-27 06:56:10.196958
binary_sensor.sm_a336b_interactive,off,2023-01-27 06:56:10.198780
sensor.sm_a336b_app_memory,0.035,2023-01-27 06:56:12.390473
sensor.sm_a336b_battery_level,39,2023-01-27 06:56:12.392513
sensor.sm_a336b_battery_state,charging,2023-01-27 06:56:12.394457
binary_sensor.sm_a336b_is_charging,on,2023-01-27 06:56:12.398554
sensor.sm_a336b_charger_type,ac,2023-01-27 06:56:12.400282
sensor.sm_a336b_battery_temperature,24.3,2023-01-27 06:56:12.402158
sensor.sm_a336b_battery_power,0.0,2023-01-27 06:56:12.403872
sensor.sm_a336b_last_update_trigger,android.intent.action.ACTION_POWER_CONNECTED,2023-01-27 06:56:12.405584
sensor.sm_a336b_light_sensor,32,2023-01-27 06:56:12.408072
sensor.sm_a336b_steps_sensor,12557,2023-01-27 06:56:12.409816
sensor.sm_a336b_app_memory,0.037,2023-01-27 06:56:18.033314
sensor.sm_a336b_battery_power,0.01,2023-01-27 06:56:18.037461
sensor.sm_a336b_light_sensor,34,2023-01-27 06:56:18.039474
sensor.sm_a336b_active_notification_count,3,2023-01-27 06:56:18.041316
sensor.sm_a336b_steps_sensor,12561,2023-01-27 06:56:18.045705
sensor.sm_a336b_total_rx_gb,44.218,2023-01-27 06:56:18.047549
device_tracker.sm_a336b,Cate Home,2023-01-27 06:58:22.572455
sensor.sm_a336b_app_memory,0.022,2023-01-27 07:02:17.873403
sensor.sm_a336b_battery_level,43,2023-01-27 07:02:17.875435
sensor.sm_a336b_battery_temperature,21.9,2023-01-27 07:02:17.877302
sensor.sm_a336b_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 07:02:17.881644
sensor.sm_a336b_light_sensor,30,2023-01-27 07:02:17.883427
sensor.sm_a336b_app_rx_gb,0.0515,2023-01-27 07:08:37.366960
sensor.sm_a336b_app_memory,0.027,2023-01-27 07:08:37.369004
sensor.sm_a336b_battery_level,48,2023-01-27 07:08:37.372625
sensor.sm_a336b_battery_temperature,21.5,2023-01-27 07:08:37.374550
sensor.sm_a336b_battery_power,0.0,2023-01-27 07:08:37.376389
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 07:08:37.381285
sensor.sm_a336b_light_sensor,132,2023-01-27 07:08:37.383101
sensor.sm_a336b_total_rx_gb,44.219,2023-01-27 07:08:37.384901
device_tracker.sm_a336b,Cate Home,2023-01-27 07:13:58.481394
device_tracker.sm_a336b,Cate Home,2023-01-27 07:15:10.515582
device_tracker.sm_a336b,Cate Home,2023-01-27 07:19:09.954861
sensor.sm_a336b_app_memory,0.021,2023-01-27 07:24:46.794019
sensor.sm_a336b_battery_level,60,2023-01-27 07:24:46.797448
sensor.sm_a336b_battery_temperature,21.8,2023-01-27 07:24:46.799421
sensor.sm_a336b_battery_power,0.01,2023-01-27 07:24:46.801236
