entity_id,state,last_updated
sensor.cph2371_total_rx_gb,0.816,2023-01-27 04:00:25.017861
sensor.cph2371_app_memory,0.017,2023-01-27 04:01:39.390088
sensor.cph2371_app_memory,0.015,2023-01-27 04:04:28.815218
sensor.cph2371_app_rx_gb,0.0026,2023-01-27 04:06:24.788233
sensor.cph2371_app_memory,0.017,2023-01-27 04:06:24.790242
sensor.cph2371_app_memory,0.016,2023-01-27 04:06:49.012944
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 04:06:49.018141
sensor.cph2371_app_memory,0.018,2023-01-27 04:07:30.110908
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:07:30.116016
sensor.cph2371_battery_temperature,20.8,2023-01-27 04:11:09.864868
device_tracker.cph2371,home,2023-01-27 04:12:29.984199
sensor.cph2371_battery_temperature,20.7,2023-01-27 04:12:30.388957
sensor.cph2371_app_memory,0.01,2023-01-27 04:14:01.701541
device_tracker.cph2371,home,2023-01-27 04:14:07.686592
sensor.cph2371_app_memory,0.028,2023-01-27 04:14:09.021899
sensor.cph2371_ble_transmitter,Transmitting,2023-01-27 04:14:09.025597
sensor.cph2371_last_update_trigger,android.net.wifi.WIFI_STATE_CHANGED,2023-01-27 04:14:09.029395
sensor.cph2371_app_tx_gb,0.0017,2023-01-27 04:15:57.558860
sensor.cph2371_app_memory,0.009,2023-01-27 04:15:57.560972
sensor.cph2371_battery_temperature,20.8,2023-01-27 04:15:57.562895
sensor.cph2371_ble_transmitter,Transmitting,2023-01-27 04:15:57.569106
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:15:57.570894
sensor.cph2371_total_rx_gb,0.817,2023-01-27 04:15:57.578257
sensor.cph2371_total_tx_gb,0.033,2023-01-27 04:15:57.579928
sensor.cph2371_app_memory,0.012,2023-01-27 04:16:17.185881
sensor.cph2371_battery_temperature,21.0,2023-01-27 04:16:17.187945
sensor.cph2371_app_memory,0.01,2023-01-27 04:17:30.235265
sensor.cph2371_battery_temperature,21.1,2023-01-27 04:17:30.237311
sensor.cph2371_app_memory,0.014,2023-01-27 04:18:28.801886
sensor.cph2371_battery_temperature,21.2,2023-01-27 04:18:28.806311
sensor.cph2371_app_rx_gb,0.0027,2023-01-27 04:20:37.906055
sensor.cph2371_app_memory,0.008,2023-01-27 04:20:37.908542
sensor.cph2371_battery_temperature,21.5,2023-01-27 04:20:37.911951
sensor.cph2371_active_notification_count,3,2023-01-27 04:20:37.917363
sensor.cph2371_total_rx_gb,0.823,2023-01-27 04:20:37.936490
sensor.cph2371_total_tx_gb,0.326,2023-01-27 04:20:37.938388
sensor.cph2371_app_memory,0.01,2023-01-27 04:21:01.489382
sensor.cph2371_app_memory,0.012,2023-01-27 04:21:18.540991
sensor.cph2371_battery_power,0.0,2023-01-27 04:21:18.543014
sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 04:21:18.546157
sensor.cph2371_app_memory,0.015,2023-01-27 04:21:49.594236
sensor.cph2371_battery_temperature,22.0,2023-01-27 04:21:49.596252
sensor.cph2371_battery_power,0.0,2023-01-27 04:21:49.598071
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 04:21:49.602075
sensor.cph2371_app_memory,0.012,2023-01-27 04:22:30.152693
sensor.cph2371_battery_level,93,2023-01-27 04:22:30.154719
sensor.cph2371_battery_power,0.0,2023-01-27 04:22:30.158853
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:22:30.160694
sensor.cph2371_total_tx_gb,0.327,2023-01-27 04:22:30.165605
sensor.cph2371_app_memory,0.013,2023-01-27 04:23:47.337864
sensor.cph2371_battery_level,94,2023-01-27 04:23:47.339841
sensor.cph2371_battery_temperature,22.3,2023-01-27 04:23:47.341709
sensor.cph2371_battery_power,0.0,2023-01-27 04:23:47.345330
sensor.cph2371_app_memory,0.01,2023-01-27 04:25:21.835409
sensor.cph2371_battery_level,95,2023-01-27 04:25:21.837413
sensor.cph2371_battery_temperature,22.4,2023-01-27 04:25:21.841447
sensor.cph2371_battery_power,0.0,2023-01-27 04:25:21.843320
sensor.cph2371_app_memory,0.012,2023-01-27 04:26:21.720732
sensor.cph2371_battery_level,96,2023-01-27 04:26:21.722768
sensor.cph2371_battery_temperature,22.5,2023-01-27 04:26:21.726991
sensor.cph2371_battery_power,0.0,2023-01-27 04:26:21.728838
sensor.cph2371_app_memory,0.013,2023-01-27 04:27:30.146069
sensor.cph2371_battery_level,97,2023-01-27 04:27:30.148175
sensor.cph2371_battery_power,0.0,2023-01-27 04:27:30.150045
sensor.cph2371_app_memory,0.015,2023-01-27 04:28:32.255258
sensor.cph2371_battery_power,0.0,2023-01-27 04:28:32.257288
device_tracker.cph2371,home,2023-01-27 04:30:05.502930
sensor.cph2371_app_memory,0.017,2023-01-27 04:30:05.872284
sensor.cph2371_battery_level,98,2023-01-27 04:30:05.874847
sensor.cph2371_battery_temperature,22.6,2023-01-27 04:30:05.880153
sensor.cph2371_battery_power,0.0,2023-01-27 04:30:05.883956
sensor.cph2371_app_memory,0.013,2023-01-27 04:33:17.717340
sensor.cph2371_battery_level,100,2023-01-27 04:33:17.719422
sensor.cph2371_battery_power,0.0,2023-01-27 04:33:17.723095
sensor.cph2371_total_rx_gb,0.824,2023-01-27 04:33:17.728208
sensor.cph2371_app_memory,0.015,2023-01-27 04:33:29.135888
sensor.cph2371_battery_state,full,2023-01-27 04:33:29.139199
sensor.cph2371_battery_temperature,22.7,2023-01-27 04:33:29.143277
sensor.cph2371_battery_power,0.0,2023-01-27 04:33:29.146751
binary_sensor.cph2371_interactive,on,2023-01-27 04:33:29.148716
sensor.cph2371_app_memory,0.017,2023-01-27 04:33:29.597189
sensor.cph2371_battery_power,0.0,2023-01-27 04:33:29.599208
sensor.cph2371_screen_brightness,39,2023-01-27 04:33:29.603455
sensor.cph2371_last_update_trigger,android.intent.action.SCREEN_ON,2023-01-27 04:33:29.605338
sensor.cph2371_app_rx_gb,0.0028,2023-01-27 04:33:40.236170
sensor.cph2371_app_memory,0.01,2023-01-27 04:33:40.238358
sensor.cph2371_battery_power,0.0,2023-01-27 04:33:40.242657
sensor.cph2371_screen_brightness,1,2023-01-27 04:33:40.244570
sensor.cph2371_last_update_trigger,android.intent.action.SCREEN_OFF,2023-01-27 04:33:40.246410
binary_sensor.cph2371_interactive,off,2023-01-27 04:33:40.250418
sensor.cph2371_app_memory,0.012,2023-01-27 04:34:49.683439
sensor.cph2371_battery_power,0.0,2023-01-27 04:34:49.685496
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:34:49.687340
sensor.cph2371_app_memory,0.014,2023-01-27 04:35:49.768790
sensor.cph2371_battery_power,0.0,2023-01-27 04:35:49.770970
sensor.cph2371_app_memory,0.016,2023-01-27 04:36:50.263215
sensor.cph2371_battery_power,0.0,2023-01-27 04:36:50.265220
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 04:36:50.269847
sensor.cph2371_app_memory,0.013,2023-01-27 04:38:02.352264
sensor.cph2371_battery_power,0.0,2023-01-27 04:38:02.354357
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:38:02.358951
sensor.cph2371_app_memory,0.015,2023-01-27 04:39:33.921804
sensor.cph2371_battery_power,0.0,2023-01-27 04:39:33.923949
sensor.cph2371_app_memory,0.017,2023-01-27 04:42:47.530574
sensor.cph2371_battery_temperature,21.9,2023-01-27 04:42:47.533963
sensor.cph2371_app_memory,0.019,2023-01-27 04:44:18.087600
sensor.cph2371_battery_temperature,21.7,2023-01-27 04:44:18.089687
device_tracker.cph2371,home,2023-01-27 04:45:17.654476
sensor.cph2371_app_memory,0.011,2023-01-27 04:45:17.829338
sensor.cph2371_app_memory,0.013,2023-01-27 04:47:32.686050
sensor.cph2371_app_memory,0.015,2023-01-27 04:48:12.317115
sensor.cph2371_app_memory,0.017,2023-01-27 04:49:01.944723
sensor.cph2371_total_rx_gb,0.825,2023-01-27 04:49:01.954226
sensor.cph2371_app_memory,0.019,2023-01-27 04:50:31.629368
sensor.cph2371_battery_temperature,21.5,2023-01-27 04:50:31.631331
sensor.cph2371_app_rx_gb,0.0029,2023-01-27 04:51:18.707872
sensor.cph2371_app_memory,0.014,2023-01-27 04:51:18.709900
sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 04:51:18.716261
sensor.cph2371_app_memory,0.014,2023-01-27 04:51:18.759887
device_tracker.cph2371,home,2023-01-27 04:52:04.317608
sensor.cph2371_app_memory,0.017,2023-01-27 04:52:04.721714
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 04:52:04.727862
sensor.cph2371_app_memory,0.02,2023-01-27 04:52:23.378300
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:52:23.382087
sensor.cph2371_app_memory,0.012,2023-01-27 04:53:47.332647
sensor.cph2371_app_memory,0.013,2023-01-27 04:55:31.536483
sensor.cph2371_app_tx_gb,0.0018,2023-01-27 04:57:08.574198
sensor.cph2371_app_memory,0.015,2023-01-27 04:57:08.576206
sensor.cph2371_battery_temperature,20.9,2023-01-27 04:57:08.579850
sensor.cph2371_total_rx_gb,0.826,2023-01-27 04:57:08.589442
sensor.cph2371_app_memory,0.017,2023-01-27 04:58:48.486118
sensor.cph2371_app_memory,0.019,2023-01-27 05:00:31.693104
