entity_id,state,last_updated
sensor.cph2197_app_memory,0.012,2023-01-27 03:18:04.312923
sensor.cph2197_app_memory,0.014,2023-01-27 03:21:58.435717
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 03:21:58.440590
sensor.cph2197_total_rx_gb,1.78,2023-01-27 03:21:58.445267
sensor.cph2197_app_memory,0.018,2023-01-27 03:22:27.646538
sensor.cph2197_battery_temperature,18.1,2023-01-27 03:22:27.648563
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 03:22:27.653841
sensor.cph2197_light_sensor,1,2023-01-27 03:22:27.655693
sensor.cph2197_app_memory,0.013,2023-01-27 03:24:23.588215
sensor.cph2197_light_sensor,0,2023-01-27 03:24:23.593227
device_tracker.cph2197,home,2023-01-27 03:24:45.498600
sensor.cph2197_app_memory,0.015,2023-01-27 03:25:03.627587
sensor.cph2197_app_memory,0.018,2023-01-27 03:26:33.309938
sensor.cph2197_battery_power,0.0,2023-01-27 03:26:33.312301
sensor.cph2197_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 03:26:33.314567
device_tracker.cph2197,home,2023-01-27 03:26:42.247629
sensor.cph2197_app_memory,0.012,2023-01-27 03:27:42.688633
sensor.cph2197_battery_power,0.0,2023-01-27 03:27:42.690816
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 03:27:42.692622
sensor.cph2197_total_tx_gb,0.038,2023-01-27 03:27:42.701124
sensor.cph2197_app_memory,0.014,2023-01-27 03:31:27.845970
sensor.cph2197_battery_temperature,18.0,2023-01-27 03:31:27.848078
sensor.cph2197_app_memory,0.016,2023-01-27 03:32:42.722276
sensor.cph2197_battery_power,0.0,2023-01-27 03:32:42.724395
sensor.cph2197_app_rx_gb,0.0028,2023-01-27 03:36:13.066655
sensor.cph2197_app_memory,0.018,2023-01-27 03:36:13.068731
sensor.cph2197_battery_power,0.0,2023-01-27 03:36:13.070682
sensor.cph2197_app_memory,0.013,2023-01-27 03:37:29.439748
sensor.cph2197_battery_power,0.0,2023-01-27 03:37:29.441847
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 03:37:29.445304
sensor.cph2197_total_rx_gb,1.781,2023-01-27 03:37:29.453404
sensor.cph2197_app_memory,0.017,2023-01-27 03:37:45.683093
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 03:37:45.688229
sensor.cph2197_total_rx_gb,1.791,2023-01-27 03:37:45.693261
sensor.cph2197_app_memory,0.018,2023-01-27 03:38:37.317492
sensor.cph2197_app_memory,0.01,2023-01-27 03:39:02.999697
sensor.cph2197_battery_temperature,18.4,2023-01-27 03:39:03.001795
sensor.cph2197_battery_power,0.0,2023-01-27 03:39:03.003750
sensor.cph2197_app_memory,0.012,2023-01-27 03:40:58.124410
sensor.cph2197_battery_temperature,18.3,2023-01-27 03:40:58.126482
sensor.cph2197_battery_power,0.0,2023-01-27 03:40:58.130109
device_tracker.cph2197,home,2023-01-27 03:44:14.249174
sensor.cph2197_app_memory,0.014,2023-01-27 03:44:14.636593
sensor.cph2197_battery_temperature,18.2,2023-01-27 03:44:14.638656
sensor.cph2197_battery_power,0.0,2023-01-27 03:44:14.642362
sensor.cph2197_app_memory,0.016,2023-01-27 03:45:43.074403
sensor.cph2197_battery_temperature,18.1,2023-01-27 03:45:43.076462
sensor.cph2197_app_memory,0.018,2023-01-27 03:47:18.272620
sensor.cph2197_total_rx_gb,1.792,2023-01-27 03:47:18.280905
sensor.cph2197_app_memory,0.014,2023-01-27 03:48:37.561794
sensor.cph2197_app_tx_gb,0.0013,2023-01-27 03:49:14.415210
sensor.cph2197_app_memory,0.015,2023-01-27 03:49:14.417305
sensor.cph2197_app_memory,0.017,2023-01-27 03:50:27.881206
sensor.cph2197_app_memory,0.01,2023-01-27 03:51:45.217742
sensor.cph2197_app_rx_gb,0.0029,2023-01-27 03:53:01.693054
sensor.cph2197_app_memory,0.012,2023-01-27 03:53:01.695090
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 03:53:01.702579
sensor.cph2197_app_memory,0.014,2023-01-27 03:55:13.024834
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 03:55:13.028549
sensor.cph2197_app_memory,0.016,2023-01-27 03:56:32.226980
sensor.cph2197_battery_power,0.0,2023-01-27 03:56:32.229118
sensor.cph2197_app_memory,0.018,2023-01-27 03:56:33.956776
sensor.cph2197_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 03:56:33.961623
device_tracker.cph2197,home,2023-01-27 04:00:00.865426
sensor.cph2197_app_memory,0.014,2023-01-27 04:00:01.195608
sensor.cph2197_battery_temperature,18.2,2023-01-27 04:00:01.197657
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:00:01.202725
sensor.cph2197_active_notification_count,7,2023-01-27 04:00:01.204725
sensor.cph2197_app_memory,0.017,2023-01-27 04:04:46.581472
sensor.cph2197_battery_temperature,18.1,2023-01-27 04:04:46.583492
sensor.cph2197_active_notification_count,8,2023-01-27 04:04:46.588847
sensor.cph2197_total_rx_gb,1.793,2023-01-27 04:04:46.593799
sensor.cph2197_app_memory,0.018,2023-01-27 04:05:46.365502
sensor.cph2197_app_memory,0.011,2023-01-27 04:07:01.356474
sensor.cph2197_app_memory,0.013,2023-01-27 04:08:18.071120
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 04:08:18.076329
sensor.cph2197_app_memory,0.015,2023-01-27 04:09:31.335184
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:09:31.339495
sensor.cph2197_app_memory,0.017,2023-01-27 04:10:46.340240
sensor.cph2197_battery_temperature,18.0,2023-01-27 04:10:46.342376
sensor.cph2197_app_memory,0.019,2023-01-27 04:14:16.741984
sensor.cph2197_battery_temperature,18.1,2023-01-27 04:14:16.744036
device_tracker.cph2197,home,2023-01-27 04:19:01.256854
sensor.cph2197_app_memory,0.014,2023-01-27 04:19:01.601069
sensor.cph2197_battery_temperature,18.0,2023-01-27 04:19:01.603148
sensor.cph2197_total_rx_gb,1.794,2023-01-27 04:19:01.611496
sensor.cph2197_app_memory,0.016,2023-01-27 04:20:32.701062
sensor.cph2197_app_rx_gb,0.003,2023-01-27 04:22:01.595202
sensor.cph2197_app_memory,0.018,2023-01-27 04:22:01.597257
sensor.cph2197_app_memory,0.011,2023-01-27 04:23:18.944651
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 04:23:18.949419
sensor.cph2197_app_memory,0.013,2023-01-27 04:23:46.654549
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:23:46.659457
sensor.cph2197_app_memory,0.015,2023-01-27 04:24:03.217470
sensor.cph2197_app_memory,0.017,2023-01-27 04:25:02.983111
sensor.cph2197_app_memory,0.019,2023-01-27 04:26:34.506625
sensor.cph2197_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 04:26:34.510233
sensor.cph2197_app_memory,0.016,2023-01-27 04:28:37.481211
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:28:37.486117
